micros	tikcs
6983784	-1283
6985056	-1284
6986332	-1285
6987608	-1285
6988892	-1286
6990156	-1286
6991432	-1287
6992708	-1288
6993984	-1288
6995256	-1289
6996532	-1290
6997808	-1290
6999084	-1291
7000356	-1291
7001632	-1292
7002908	-1293
7004184	-1293
7005456	-1294
7006732	-1294
7008008	-1295
7009288	-1296
7010556	-1296
7011832	-1297
7013108	-1297
7014384	-1298
7015656	-1299
7016932	-1299
7018208	-1300
7019484	-1301
7020756	-1301
7022032	-1302
7023308	-1302
7024584	-1303
7025856	-1304
7027132	-1304
7028408	-1305
7029684	-1305
7030956	-1306
7032232	-1307
7033508	-1307
7034784	-1308
7036056	-1308
7037332	-1309
7038608	-1310
7039884	-1310
7041156	-1311
7042432	-1311
7043708	-1312
7044984	-1313
7046256	-1313
7047532	-1314
7048808	-1314
7050084	-1315
7051356	-1315
7052632	-1316
7053908	-1317
7055184	-1317
7056456	-1318
7057732	-1318
7059008	-1319
7060284	-1319
7061556	-1320
7062832	-1321
7064108	-1321
7065384	-1322
7066656	-1322
7067944	-1323
7069208	-1323
7070484	-1324
7071764	-1324
7073032	-1325
7074308	-1326
7075584	-1326
7076856	-1327
7078132	-1327
7079408	-1328
7080684	-1328
7081956	-1329
7083232	-1329
7084508	-1330
7085784	-1331
7087056	-1331
7088332	-1332
7089608	-1332
7090884	-1333
7092156	-1333
7093432	-1334
7094708	-1334
7095984	-1335
7097256	-1335
7098532	-1336
7099808	-1336
7101084	-1337
7102356	-1337
7103632	-1338
7104908	-1339
7106184	-1339
7107456	-1340
7108732	-1340
7110008	-1341
7111284	-1341
7112556	-1342
7113832	-1342
7115108	-1343
7116384	-1343
7117656	-1344
7118932	-1344
7120208	-1345
7121484	-1345
7122756	-1346
7124032	-1346
7125308	-1347
7126584	-1347
7127856	-1348
7129132	-1348
7130408	-1349
7131684	-1350
7132956	-1350
7134232	-1351
7135508	-1351
7136784	-1352
7138056	-1352
7139340	-1353
7140608	-1353
7141884	-1354
7143156	-1354
7144432	-1355
7145708	-1355
7146984	-1356
7148256	-1356
7149532	-1357
7150808	-1357
7152084	-1358
7153356	-1358
7154632	-1359
7155908	-1359
7157184	-1360
7158456	-1360
7159732	-1361
7161008	-1361
7162284	-1362
7163556	-1362
7164832	-1363
7166108	-1363
7167384	-1364
7168656	-1364
7169932	-1365
7171208	-1365
7172484	-1366
7173756	-1366
7175032	-1367
7176308	-1367
7177584	-1368
7178856	-1368
7180132	-1369
7181408	-1369
7182684	-1370
7183956	-1370
7185232	-1371
7186508	-1371
7187784	-1372
7189056	-1373
7190332	-1373
7191608	-1374
7192884	-1374
7194156	-1375
7195432	-1375
7196708	-1376
7197984	-1376
7199260	-1377
7200532	-1377
7201812	-1378
7203084	-1378
7204356	-1379
7205632	-1379
7206908	-1380
7208184	-1380
7209456	-1381
7210732	-1381
7212008	-1382
7213284	-1382
7214556	-1383
7215832	-1383
7217108	-1384
7218384	-1384
7219656	-1385
7220932	-1385
7222208	-1386
7223484	-1386
7224756	-1387
7226032	-1387
7227308	-1388
7228584	-1388
7229856	-1389
7231132	-1389
7232408	-1390
7233684	-1390
7234956	-1391
7236232	-1391
7237508	-1392
7238784	-1392
7240056	-1392
7241332	-1393
7242608	-1393
7243884	-1394
7245156	-1394
7246432	-1395
7247708	-1395
7248984	-1396
7250256	-1396
7251532	-1397
7252808	-1397
7254084	-1398
7255356	-1398
7256632	-1399
7257908	-1399
7259184	-1400
7260456	-1400
7261732	-1400
7263008	-1401
7264284	-1401
7265556	-1402
7266832	-1402
7268108	-1403
7269388	-1403
7270660	-1404
7271932	-1404
7273208	-1405
7274484	-1405
7275756	-1405
7277032	-1406
7278308	-1406
7279584	-1407
7280856	-1407
7282132	-1408
7283408	-1408
7284684	-1409
7285956	-1409
7287232	-1409
7288508	-1410
7289784	-1410
7291068	-1411
7292332	-1411
7293608	-1412
7294884	-1412
7296156	-1412
7297432	-1413
7298708	-1413
7299992	-1414
7301256	-1414
7302532	-1415
7303808	-1415
7305084	-1415
7306356	-1416
7307632	-1416
7308908	-1417
7310184	-1417
7311456	-1418
7312732	-1418
7314008	-1418
7315284	-1419
7316556	-1419
7317832	-1420
7319108	-1420
7320384	-1420
7321656	-1421
7322932	-1421
7324208	-1422
7325484	-1422
7326756	-1423
7328032	-1423
7329308	-1423
7330584	-1424
7331860	-1424
7333132	-1425
7334408	-1425
7335684	-1425
7336956	-1426
7338232	-1426
7339508	-1427
7340784	-1427
7342056	-1427
7343332	-1428
7344608	-1428
7345884	-1429
7347160	-1429
7348432	-1430
7349708	-1430
7350984	-1430
7352256	-1431
7353532	-1431
7354808	-1432
7356084	-1432
7357356	-1432
7358632	-1433
7359908	-1433
7361184	-1434
7362456	-1434
7363732	-1434
7365008	-1435
7366284	-1435
7367556	-1436
7368832	-1436
7370108	-1436
7371384	-1437
7372656	-1437
7373932	-1438
7375208	-1438
7376484	-1438
7377760	-1439
7379032	-1439
7380308	-1440
7381584	-1440
7382860	-1440
7384132	-1441
7385408	-1441
7386684	-1442
7387956	-1442
7389232	-1442
7390508	-1443
7391784	-1443
7393056	-1444
7394332	-1444
7395608	-1444
7396884	-1445
7398156	-1445
7399440	-1446
7400708	-1446
7401984	-1446
7403256	-1447
7404532	-1447
7405808	-1448
7407084	-1448
7408356	-1448
7409632	-1449
7410908	-1449
7412184	-1450
7413456	-1450
7414732	-1450
7416008	-1451
7417284	-1451
7418556	-1452
7419832	-1452
7421108	-1452
7422384	-1453
7423656	-1453
7424932	-1454
7426208	-1454
7427484	-1454
7428756	-1455
7430032	-1455
7431308	-1456
7432584	-1456
7433856	-1456
7435132	-1457
7436408	-1457
7437684	-1457
7438956	-1458
7440232	-1458
7441508	-1459
7442784	-1459
7444056	-1459
7445332	-1460
7446608	-1460
7447884	-1460
7449160	-1461
7450432	-1461
7451708	-1462
7452984	-1462
7454256	-1462
7455532	-1463
7456808	-1463
7458084	-1463
7459356	-1464
7460632	-1464
7461908	-1464
7463184	-1465
7464456	-1465
7465732	-1465
7467016	-1466
7468284	-1466
7469556	-1467
7470832	-1467
7472108	-1467
7473384	-1468
7474660	-1468
7475932	-1468
7477208	-1469
7478484	-1469
7479756	-1469
7481032	-1470
7482308	-1470
7483584	-1470
7484856	-1471
7486132	-1471
7487408	-1471
7488684	-1472
7489956	-1472
7491232	-1472
7492508	-1473
7493784	-1473
7495060	-1473
7496332	-1474
7497608	-1474
7498884	-1474
7500156	-1474
7501432	-1475
7502708	-1475
7503984	-1475
7505256	-1476
7506532	-1476
7507808	-1476
7509084	-1477
7510356	-1477
7511632	-1477
7512908	-1478
